Kabupaten/Kota,,,,,,,,,,,,
,Banyaknya Hotel Bintang Menurut Kelas dan Kabupaten/Kota di Provinsi Bali,,,,,,,,,,,
,Bintang 5,,Bintang 4,,Bintang 3,,Bintang 2,,Bintang 1,,Seluruh Kelas,
,2022,2023,2022,2023,2022,2023,2022,2023,2022,2023,2022,2023
Kab. Jembrana,-,-,3,1,3,3,1,1,-,-,7,5
Kab. Tabanan,2,2,-,1,-,1,-,-,-,-,2,4
Kab. Badung,65,69,125,130,144,153,31,39,15,22,380,413
Kab. Gianyar,12,12,12,12,8,7,1,1,1,3,34,35
Kab. Klungkung,1,1,1,-,6,7,1,1,-,-,9,9
Kab. Bangli,-,-,2,2,-,-,-,-,-,-,2,2
Kab. Karangasem,1,1,2,2,2,5,-,1,4,4,9,13
Kab. Buleleng,1,1,5,4,5,4,2,1,2,2,15,12
Kota Denpasar,6,8,11,15,7,9,11,11,5,5,40,48
Provinsi Bali,88,94,161,167,175,189,47,55,27,36,498,541
