Kabupaten/Kota,,,,,,,,,,,,
,Banyaknya Kamar pada Hotel Bintang Menurut Kelas dan Kabupaten/Kota di Provinsi Bali,,,,,,,,,,,
,Bintang 5,,Bintang 4,,Bintang 3,,Bintang 2,,Bintang 1,,Seluruh Kelas,
,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022
Kab. Jembrana,-,-,33,69,84,83,15,6,-,-,132,158
Kab. Tabanan,45,886,-,-,42,17,-,-,-,-,87,903
Kab. Badung,13349,14774,15208,16858,8791,9241,1860,2002,11,288,39219,43163
Kab. Gianyar,787,803,721,703,233,301,23,23,30,30,1794,1860
Kab. Klungkung,222,222,-,50,84,53,-,8,-,-,306,333
Kab. Bangli,-,-,-,31,-,-,-,-,-,-,-,31
Kab. Karangasem,33,33,250,98,55,44,13,-,-,177,351,352
Kab. Buleleng,17,17,212,212,165,175,204,59,-,193,598,656
Kota Denpasar,616,1623,1767,1504,581,612,851,893,-,282,3815,4914
Provinsi Bali,15069,18358,18191,19525,10035,10526,2966,2991,41,970,46302,52370
