Kabupaten/Kota,,,,,,,,,,,,,
,Jumlah Perjalanan Wisatawan Nusantara Menurut Kabupaten/Kota Tujuan (Perjalanan),,,,,,,,,,,,
,2021,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kab. Jembrana,50540,45069,55506,66506,68679,61906,36483,43858,56530,63079,63211,64344,675711
Kab. Tabanan,78551,61354,69427,88544,97878,83252,42899,54372,67228,85750,79654,88157,897066
Kab. Badung,106201,98016,139760,150415,147455,235791,45197,70656,153854,293123,313615,506465,2260548
Kab. Gianyar,93098,77010,87255,88916,93062,96227,51806,61311,78547,99217,96457,134905,1057811
Kab. Klungkung,60375,44321,50095,71670,69344,62039,36636,52152,53708,63041,70352,61155,694888
Kab. Bangli,66501,47574,54028,83213,76087,71111,46733,60597,62992,70501,58480,66465,764282
Kab. Karangasem,91547,63970,78087,123795,93334,90882,58102,79838,89286,100746,93511,103741,1066839
Kab. Buleleng,102220,89975,98297,130675,122319,117441,66164,84063,109616,125129,134561,128499,1308959
Kota Denpasar,86201,100102,107089,109299,105705,123816,57776,68745,96995,122600,115907,164771,1259006
Provinsi Bali,735234,627391,739544,913033,873863,942465,441796,575592,768756,1023186,1025748,1318502,9985110
